Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	15:59:36	15:59:36	15:59:36			15:59:36	15:59:36	15:59:36	15:59:36	15:59:36	15:59:36	15:59:36	15:59:37	15:59:37	15:59:37	15:59:37	15:59:37	15:59:37			15:59:37	15:59:37		00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
1	15:59:37	15:59:37	15:59:37	15:59:37	15:59:37	15:59:37	15:59:37	15:59:37	15:59:37	15:59:37	15:59:37	15:59:37	15:59:38	15:59:38	15:59:38	15:59:38	15:59:38	15:59:38			15:59:38	15:59:38		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
2	15:59:38	15:59:38	15:59:38	15:59:38	15:59:38	15:59:38			15:59:38	15:59:38	15:59:38	15:59:38	15:59:39	15:59:39	15:59:39	15:59:39	15:59:39	15:59:39			15:59:39	15:59:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
3	15:59:39	15:59:39	15:59:39	15:59:39	15:59:39	15:59:39			15:59:39	15:59:39	15:59:39	15:59:39	15:59:40	15:59:40	15:59:40	15:59:40	15:59:40	15:59:40			15:59:40	15:59:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
4	15:59:40	15:59:40	15:59:40	15:59:40	15:59:40	15:59:40			15:59:40	15:59:40	15:59:40	15:59:40	15:59:41	15:59:41	15:59:41	15:59:41	15:59:41	15:59:41			15:59:41	15:59:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
5	15:59:41	15:59:41	15:59:41	15:59:41	15:59:41	15:59:41			15:59:41	15:59:41	15:59:41	15:59:41	15:59:41	15:59:41	15:59:41	15:59:41	15:59:41	15:59:41			15:59:42	15:59:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
6	15:59:42	15:59:42	15:59:42	15:59:42	15:59:42	15:59:42			15:59:42	15:59:42	15:59:42	15:59:42	15:59:42	15:59:42	15:59:42	15:59:42	15:59:42	15:59:42			15:59:42	15:59:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
7	15:59:43	15:59:43	15:59:43	15:59:43	15:59:43	15:59:43			15:59:43	15:59:43	15:59:43	15:59:43	15:59:43	15:59:43	15:59:43	15:59:43	15:59:43	15:59:43			15:59:43	15:59:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
8	15:59:43	15:59:43	15:59:43	15:59:43	15:59:43	15:59:43			15:59:43	15:59:43	15:59:43	15:59:43	15:59:44	15:59:44	15:59:44	15:59:44	15:59:44	15:59:44			15:59:44	15:59:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
9	15:59:44	15:59:44	15:59:44	15:59:44	15:59:44	15:59:44			15:59:44	15:59:44	15:59:44	15:59:44	15:59:45	15:59:45	15:59:45	15:59:45	15:59:45	15:59:45			15:59:45	15:59:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:00
10	15:59:45	15:59:45	15:59:45	15:59:45	15:59:45	15:59:45			15:59:45	15:59:45	15:59:45	15:59:45	15:59:46	15:59:46	15:59:46	15:59:46	15:59:46	15:59:46	15:59:46	15:59:46	15:59:46	15:59:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00
